**Name**,Name of the device
**Tenant**,Owner tenant of the device (usually Admin)
**Description**,Description of the device
**Type**,Select Server
**Site**,Site where the devices reside
**AS Number**,Private AS number of the device; recommended to be assigned automatically; applicable to servers with EVPN-VTEP role
**Main IP address**,Main loopback IP address for the device. A subnet with purpose set to *loopback* needs to be defined in IPAM for the current site; applicable to servers with EVPN-VTEP role
**Management IP address**,Management IP address for the device. A subnet with purpose set to *Management* needs to be defined in IPAM for the current siteapplicable to servers with EVPN-VTEP role
**Role**,"Tells Netris whether the server is an agentless generic node (most use cases), or a CloudStack hypervisor, or an EVPN-VTEP (EVPN-on-Host) node."
**Total Physical Ports**,"Total number of physical ports on the server including production interfaces, management interfaces (e.g., iDrac/IPMI), DPU ports including BMC and front panel ports. A typical DGX node has 8 east-west ports, 2 north-south ports, 2 or 3 management ports including BMCs of the server and the DPU. Netris recommends setting this value to at least 16 ports."
**DPUs**,"Quantity of DPUs on the server operating in Zero-Trust mode. Most deployments have 1 DPU per server."
**Custom**,"Custom attributes in JSON format. Typical use cases include supplying east-west host-side IP addressing and routing information, topology validation. This field is also used by the NVIDIA UFM and NMX-C plugins to store addtional information such as GUIDs and GPU IDs for the server node."
**Labels**,"Custome metadata that can be used for built-in functions or user-created API automations."
**Add Link**,"Used for describing physical connections between switches, servers, and SoftGates"
