**Name**,Unique name for the Kubenet
**Tenant**,Tenant who can make any changes to current Kubenet
**Site**,Site where Kubernetes cluster belongs
**State**,Active/Disable state for particular Kubenet service
**IPv4 Gateway**,IPv4 address to be used as a default gateway for current Kubenet
**Port**,Physical Switch Port anywhere on the switch fabric. Switch Port should be assigned to the owner tenant under Net→Switch Ports
**Enabled**,Enable or disable individual Switch Port under current Kubenet
**Port Name**,Switch Port format: <alias>(swp<number>)@<switch name>
**VLAN ID / Untag**,Specify a VLAN ID for tagging traffic on a per-port basis or set to Untag not to use tagging on a particular port
**Kubeconfig**,After installing the Kubernetes cluster add your Kube config for granting Netris at least read-only access to the Kube API
