Number of Netris VPCs,Cumulative number of Netris DNAT rules across all VPCs,Throughput
1,800,
1,1300,
1,1600,8 MPPS
1,3333,
1,16666,
----------------------------,------------------------------------------------------------------,---------------
100,800,
100,1300,
100,1600,8 MPPS
100,3333,
100,16666,
----------------------------,------------------------------------------------------------------,---------------
1000,800,
1000,1300,
1000,1600,8 MPPS
1000,3333,
1000,16666,
